,STEPHISCOLD,sentiment,cluster
0,mother expresses how my father and grandfather had multiple woman and how they were selfish yet these were men they choose to continually pursue it is what it is,5.0,1.0
1,whats the song in intro,4.0,0.0
2,you know i always liked you me i know bend over and arch that back hit bout 3 times and then im out lol,3.0,0.0
3,thank you for the truth neva stop,1.0,1.0
4,nvm i feel stupid for asking what a 304 is now,1.0,0.0
5,the moment you fall for her trap it s a wrap pastor steph,1.0,2.0
6,what s a 304 you a fool steph,5.0,2.0
7,my cousin put me on to stephiscold not gonna lie he s speaking facts you think she s not like that but you ll eventually realize that your just been stupid you lie to yourself everyday you give her power to your life everyday you have to stand on your man hood and have no expectations for the disrespect these type of girls will squeeze your energy your pockets and your time the moment she feels like you have nothing else to offer i promise she will leave and blame you and if your dumb enough to believe it you ll always will be step on and laughed at you have to accept it and move on you took an l oh well lesson learn not the end bro work on yourself,5.0,1.0
8,i ve accepted this and i m enjoying the new me,5.0,0.0
9,it hurts to know the reason you got hurt is because you re forwards,3.0,1.0
10,never ever believe anything a woman says the exact opposite of what they say is what they want,1.0,1.0
11,it pisses me off that women choose the men who are assholes toward them who ll abuse them and shit like that instead of dating a nice guy i ll never understand why some women are like that this generation of dating sucks since when did it become a bad thing to be too nice to a woman if she wants me to change ha good riddance another thing that pisses me off is the term simp who came up with that lame word anyway i bet some immature little boy,1.0,1.0
12,i wish u did videos for women cuz u for sure speak straight facts i laughed a few times watching this bc a lot of it is just true esp the part when u said after a break up the girl goes to the guy shes always lusted over cuzzzzz yea i like watching these videos to see how yall b thinking i just like learning about human psychology in general and the way the mind works you should think about doing a channel for women too we need you too,3.0,1.0
13,love you dude not in a gay way though,5.0,1.0
14,u gotta take the opposite of what they say it s the opposite game with them they can t say out loud what they really feel bc it makes them look cheap and easy,2.0,1.0
15,man g knowing how to maneuver w the game to make sure you win at all times is the best advice i could ve ever got,5.0,1.0
16,mannn you been helping me,5.0,0.0
17,this only 23,1.0,0.0
18,we need your knowledge and the reminders of what we know deep down already bro never stop,5.0,2.0
19,it s simple women think backwards that s why they like it from the back,3.0,1.0
20,because their basically just being used to attract more girls like a porsch or a fancy car,3.0,1.0
21,that may be true but a lot of times aren t women basically k wasting their life by being with toxic males,2.0,1.0
22,all u hear a lot is toxic imma grown ass man tf i look like playing emotional games i got better stuff to do,1.0,1.0
23,you ll never win then g,1.0,1.0
24,this video unlocked my brain,1.0,0.0
25,i m the guest star in the soap opera where your girl cheat on you,4.0,1.0
26,what s the name of the intro track,5.0,1.0
27,lmao you re right bro,5.0,2.0
28,me here watching this video to find red flags and never date a guy like that,1.0,0.0
29,i believe in patterns not words if it walks like a b dresses like a b attitude of a b it is a b,1.0,1.0
30,i got it 7 48,5.0,0.0
31,as of 2021 march 18 women are now admitting to liking toxicity i just i had one tell me straight up,1.0,0.0
32,they arent good ppl and they have to hide it then no,1.0,1.0
33,steph the mannn,4.0,2.0
34,no point of dating of getting in a relationship,1.0,1.0
